"Accident_Index","Location_Easting_OSGR ","Location_Northing_OSGR","Longitude","Latitude","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_(District)","Local_Authority_(Highway)","1st_Road_Class","1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","2nd_Road_Class","2nd_Road_Number","Pedestrian_Crossing-Human_Control","Pedestrian_Crossing-Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LSOA_of_Accident_Location"
"2013120204902","462089","447098","-1.0561720000000001","53.916314999999997","12","3","2","1","2013-11-26","3","16:00:00.0000000","189","E06000014","3","19","6","60","0","-1","-1","0","0","0","6","1","1","0","0","2","1","E01013450"
"2013120205171","460779","457064","-1.0741320000000001","54.006031","12","3","2","1","2013-11-27","4","06:22:00.0000000","189","E06000014","5","94","6","30","1","4","6","1710","0","0","4","7","2","0","0","1","1","E01013374"
"2013120205302","456824","453526","-1.1351279999999999","53.974685000000001","12","3","2","1","2013-11-27","4","11:29:00.0000000","189","E06000014","6","2210","6","30","0","-1","-1","0","0","0","1","1","2","0","0","1","1","E01013422"
"2013120205535","455578","447366","-1.1552420000000001","53.919460999999998","12","3","3","1","2013-11-27","4","17:20:00.0000000","189","E06000014","3","64","3","70","9","4","3","1237","0","0","6","1","1","0","0","2","1","E01013424"
"2013120206215","458815","451334","-1.1051979999999999","53.954763999999997","12","3","2","1","2013-11-28","5","19:55:00.0000000","189","E06000014","3","59","6","30","3","4","6","0","0","0","4","2","2","0","0","1","1","E01013391"
"2013120206687","460081","452281","-1.0857220000000001","53.963129000000002","12","3","2","2","2013-11-27","4","17:00:00.0000000","189","E06000014","3","19","6","30","0","-1","-1","0","0","0","4","1","2","0","0","1","2","E01013366"
"2013120207380","460661","451495","-1.0770390000000001","53.955998000000001","12","3","1","1","2013-11-30","7","14:35:00.0000000","189","E06000014","6","7210","6","30","0","-1","-1","0","0","0","1","1","1","0","0","1","1","E01033070"
"2013120207783","457877","450940","-1.1195660000000001","53.951329000000001","12","3","2","1","2013-11-29","6","18:00:00.0000000","189","E06000014","6","5710","6","30","0","-1","-1","0","0","0","4","1","1","0","0","1","2","E01013441"
"2013120207887","460287","452693","-1.0825009999999999","53.966808","12","3","2","1","2013-11-28","5","08:06:00.0000000","189","E06000014","4","1363","6","30","3","4","6","3110","0","0","1","8","2","0","0","1","2","E01013366"
"2013120208472","467537","448924","-0.97283699999999995","53.932043","12","3","1","1","2013-12-02","2","13:30:00.0000000","189","E06000014","4","1228","6","60","3","4","6","140","0","0","1","1","2","7","0","2","1","E01013451"
"2013120208674","455948","453360","-1.1485129999999999","53.973289000000001","12","3","2","1","2013-12-02","2","18:15:00.0000000","189","E06000014","3","59","6","40","3","4","6","2410","0","0","4","1","1","4","0","2","1","E01013426"
"2013120211120","460254","452608","-1.083021","53.966048000000001","12","3","2","1","2013-12-06","6","12:44:00.0000000","189","E06000014","4","1363","6","30","0","-1","-1","0","0","0","1","1","1","0","0","1","1","E01013366"
"2013120211553","460244","451653","-1.0833619999999999","53.957467000000001","12","3","1","1","2013-12-07","7","02:00:00.0000000","189","E06000014","4","1227","6","30","0","-1","-1","0","0","0","4","1","2","0","0","1","1","E01013366"
"2013120212527","457922","451454","-1.1187830000000001","53.955942999999998","12","2","1","2","2013-12-08","1","19:43:00.0000000","189","E06000014","4","1224","6","30","0","-1","-1","0","0","0","4","1","1","0","0","1","1","E01013396"
"2013120213037","461858","456229","-1.0578399999999999","53.998399999999997","12","3","1","1","2013-12-09","2","15:45:00.0000000","189","E06000014","5","90","6","30","8","4","-1","-1","0","0","1","1","2","0","0","1","1","E01013407"
"2013120213063","457376","449904","-1.1273930000000001","53.942073999999998","12","3","1","1","2013-12-09","2","18:52:00.0000000","189","E06000014","6","5610","6","30","3","4","6","5610","0","0","4","1","1","0","0","1","1","E01013448"
"2013120213399","459316","453707","-1.0971040000000001","53.976033000000001","12","3","2","1","2013-12-06","6","22:30:00.0000000","189","E06000014","5","419","1","30","1","4","6","0","0","0","4","1","1","0","0","1","1","E01013428"
"2013120214453","456251","453208","-1.1439220000000001","53.971890000000002","12","3","2","1","2013-12-09","2","12:20:00.0000000","189","E06000014","3","1237","6","60","0","-1","-1","0","0","0","1","1","2","4","0","2","2","E01013422"
"2013120214549","460727","448240","-1.0766789999999999","53.926738999999998","12","3","2","2","2013-12-12","5","08:39:00.0000000","189","E06000014","3","64","3","70","0","-1","-1","0","0","0","1","1","2","0","0","2","1","E01013365"
"2013120215110","461236","452661","-1.068044","53.966408999999999","12","2","2","1","2013-12-13","6","07:30:00.0000000","189","E06000014","3","1036","6","30","3","4","6","7410","0","0","4","1","2","0","0","1","1","E01013382"
"2013120215186","460869","449824","-1.0742020000000001","53.940956999999997","12","3","3","1","2013-12-13","6","09:22:00.0000000","189","E06000014","3","19","6","30","0","-1","-1","0","0","5","1","8","2","0","0","1","1","E01013362"
"2013120215188","465481","451702","-1.0035510000000001","53.957272000000003","12","3","2","3","2013-12-13","6","10:48:00.0000000","189","E06000014","3","1079","6","60","0","-1","-1","0","0","0","1","1","2","0","0","2","1","E01013351"
"2013120215464","461079","449059","-1.071156","53.934057000000003","12","2","2","1","2013-12-13","6","15:45:00.0000000","189","E06000014","3","19","6","30","8","4","6","0","0","4","1","2","2","0","0","1","1","E01013365"
"2013120215979","459637","453768","-1.092198","53.976543999999997","12","3","2","1","2013-12-13","6","20:30:00.0000000","189","E06000014","6","3110","6","30","3","4","6","3110","0","0","4","1","1","0","0","1","2","E01013349"
"2013120216908","461297","452697","-1.067107","53.966724999999997","12","3","2","1","2013-12-16","2","06:49:00.0000000","189","E06000014","3","1036","6","30","0","-1","-1","0","0","0","4","1","2","0","0","1","1","E01013382"
"2013120218018","459693","452882","-1.091518","53.968575000000001","12","2","1","1","2013-12-17","3","16:20:00.0000000","189","E06000014","6","3110","6","20","0","-1","-1","0","0","0","4","1","1","0","0","1","1","E01013344"
"2013120218530","460109","451200","-1.0855079999999999","53.953411000000003","12","3","2","1","2013-12-16","2","08:15:00.0000000","189","E06000014","3","1036","2","30","0","-1","-1","0","0","0","1","1","1","0","0","1","2","E01033069"
"2013120218632","462657","445442","-1.0478639999999999","53.901364000000001","12","3","2","1","2013-12-18","4","18:10:00.0000000","189","E06000014","3","19","6","60","0","-1","-1","0","0","0","6","4","2","0","0","2","1","E01013450"
"2013120218643","458277","448926","-1.113855","53.933185000000002","12","2","1","1","2013-12-18","4","19:05:00.0000000","189","E06000014","6","5510","6","30","1","4","3","1036","0","8","4","2","2","0","0","1","1","E01013355"
"2013120219154","459339","450522","-1.097372","53.947406999999998","12","3","1","1","2013-12-19","5","15:35:00.0000000","189","E06000014","5","407","6","30","0","-1","-1","0","0","0","4","1","1","0","0","2","1","E01013412"
"2013120219751","457943","451454","-1.118463","53.955941000000003","12","3","2","1","2013-12-20","6","14:35:00.0000000","189","E06000014","4","1224","6","30","0","-1","-1","0","0","0","1","1","1","0","0","1","1","E01013396"
"2013120221382","455573","448560","-1.1551020000000001","53.930191999999998","12","3","1","1","2013-12-22","1","21:20:00.0000000","189","E06000014","5","286","6","60","0","-1","-1","0","0","0","6","1","4","0","0","2","1","E01013421"
"2013120221840","457082","452526","-1.1313820000000001","53.965670000000003","12","3","3","2","2013-12-23","2","16:45:00.0000000","189","E06000014","6","2710","6","20","6","4","6","2710","0","0","4","2","2","0","0","1","1","E01013338"
"2013120222302","459151","450651","-1.1002110000000001","53.948588000000001","12","2","2","1","2013-12-24","3","14:44:00.0000000","189","E06000014","3","1036","6","30","3","4","6","5710","0","8","1","1","1","0","0","1","1","E01013417"
"2013120222346","459676","455905","-1.091186","53.995744000000002","12","2","2","1","2013-12-24","3","15:15:00.0000000","189","E06000014","4","1363","1","60","1","4","3","1237","0","0","1","1","1","0","0","2","1","E01013431"
"2013120223683","460325","453067","-1.0818479999999999","53.970165000000001","12","3","1","1","2013-12-27","6","17:00:00.0000000","189","E06000014","4","1363","6","30","0","-1","-1","0","0","4","4","8","2","0","0","1","2","E01013343"
"2013120224473","464143","460578","-1.0220720000000001","54.037204000000003","12","3","1","2","2013-12-29","1","02:00:00.0000000","189","E06000014","6","1510","6","30","0","-1","-1","0","0","0","6","1","4","0","0","2","1","E01013439"
"2013120224740","462620","460576","-1.0453239999999999","54.037371999999998","12","3","2","4","2013-12-29","1","16:44:00.0000000","189","E06000014","6","1811","6","30","0","-1","-1","0","0","0","5","1","1","0","0","2","1","E01013438"
"2013120224774","464798","452022","-1.0138910000000001","53.960233000000002","12","2","1","1","2013-12-29","1","17:35:00.0000000","189","E06000014","3","64","3","70","0","-1","-1","0","0","0","6","1","2","0","0","2","1","E01013419"
"2013120225597","460975","455806","-1.071393","53.994703000000001","12","3","2","1","2013-12-30","2","07:30:00.0000000","189","E06000014","5","94","6","30","3","4","6","3510","0","0","4","1","1","0","0","2","2","E01013410"
"2012120000415","469375","449837","-0.94464000000000004","53.940004999999999","12","2","1","1","2012-01-01","1","06:24:00.0000000","189","E06000014","6","0","6","60","0","-1","-1","0","0","0","6","1","2","0","0","2","1","E01013351"
"2012120001401","460679","451868","-1.0766899999999999","53.959347999999999","12","3","2","1","2012-12-31","2","11:40:00.0000000","189","E06000014","6","7210","6","30","0","-1","-1","0","0","0","1","1","2","0","0","1","2","E01013367"
"2012120001484","459873","451822","-1.0889819999999999","53.959028000000004","12","3","2","1","2012-12-31","2","14:25:00.0000000","189","E06000014","3","1036","6","30","0","-1","-1","0","0","0","1","1","2","0","0","1","2","E01013415"
"2012120002047","460424","451430","-1.0806629999999999","53.955441","12","3","1","1","2012-01-04","4","21:15:00.0000000","189","E06000014","6","0","6","30","3","4","6","0","0","0","1","1","1","0","0","1","1","E01013367"
"2012120002855","457415","451382","-1.1265210000000001","53.955351999999998","12","2","2","1","2012-01-06","6","07:45:00.0000000","189","E06000014","4","1224","1","30","1","4","5","285","0","0","1","1","4","0","0","1","1","E01013441"
"2012120002924","459752","451882","-1.090814","53.959581","12","3","2","1","2012-01-05","5","18:10:00.0000000","189","E06000014","6","0","6","30","0","-1","-1","0","0","0","4","1","1","0","0","1","1","E01013415"
"2012120002963","455903","451341","-1.1495679999999999","53.955148999999999","12","3","2","1","2012-01-06","6","12:20:00.0000000","189","E06000014","3","1237","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1","E01013421"
"2012120002964","460467","452065","-1.079882","53.961143","12","3","1","1","2012-01-06","6","13:15:00.0000000","189","E06000014","6","0","6","30","0","-1","-1","0","0","0","1","1","2","0","0","1","1","E01013366"
"2012120003465","461016","458429","-1.0702419999999999","54.018270000000001","12","3","1","2","2012-01-07","7","13:15:00.0000000","189","E06000014","6","1810","6","30","3","4","6","0","0","0","1","1","1","0","0","1","2","E01013376"
"2012120003503","460823","456488","-1.0735749999999999","54.000849000000002","12","3","6","4","2012-01-07","7","13:25:00.0000000","189","E06000014","3","1237","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1","E01013407"
"2012120003838","462184","447000","-1.054745","53.915422","12","3","2","1","2012-01-08","1","06:02:00.0000000","189","E06000014","3","19","6","60","0","-1","-1","0","0","0","6","1","1","0","0","2","1","E01013450"
"2012120003969","459477","457060","-1.0939950000000001","54.006146000000001","12","2","2","1","2012-01-08","1","11:25:00.0000000","189","E06000014","4","1363","6","60","8","4","6","0","0","0","1","1","2","0","0","2","1","E01013377"
"2012120006391","459687","451725","-1.0918350000000001","53.958177999999997","12","3","2","1","2012-01-13","6","07:35:00.0000000","189","E06000014","3","1036","6","30","8","4","6","0","0","0","1","1","1","0","0","1","1","E01013415"
"2012120006584","457579","451421","-1.124015","53.955683999999998","12","3","2","1","2012-12-14","6","13:30:00.0000000","189","E06000014","6","5710","6","30","0","-1","-1","0","0","0","1","9","1","0","0","1","2","E01013441"
"2012120007991","459463","451247","-1.0953409999999999","53.953907999999998","12","3","2","1","2012-01-16","2","08:35:00.0000000","189","E06000014","3","59","6","30","3","4","6","0","0","0","1","1","2","0","0","1","1","E01013417"
"2012120008167","455991","447763","-1.148881","53.922984","12","3","2","1","2012-01-16","2","14:10:00.0000000","189","E06000014","3","1237","6","60","0","-1","-1","0","0","0","1","1","2","0","0","2","1","E01013421"
"2012120008189","460515","451831","-1.079197","53.959034000000003","12","3","1","1","2012-01-16","2","14:15:00.0000000","189","E06000014","6","0","6","30","3","4","6","0","0","0","1","1","1","0","0","1","1","E01013367"
