Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2011120130411,2,1,1,1,22,5,3,0,0,0,0,0,1,-1,
2011120130873,2,1,2,1,15,3,3,0,0,1,0,0,9,-1,
2011120130873,4,2,2,2,13,3,3,0,0,2,0,0,9,-1,
2011120130873,4,3,1,1,31,6,3,0,0,0,0,0,9,-1,
2011120130873,5,4,2,1,32,6,3,0,0,2,0,0,9,-1,
2011120130874,2,2,1,2,16,4,3,0,0,0,0,0,1,1,
2011120131143,2,1,1,1,46,8,3,0,0,0,0,0,9,1,
2011120131143,3,2,1,1,19,4,3,0,0,0,0,0,9,1,
2011120131709,1,1,1,1,49,8,3,0,0,0,0,0,9,-1,
2011120131925,2,1,2,1,47,8,3,0,0,2,0,0,9,1,
2011120132890,1,1,1,1,55,8,2,0,0,0,0,0,1,1,
2011120133175,2,1,1,1,32,6,3,0,0,0,0,0,9,-1,
2011120133271,2,1,1,2,22,5,3,0,0,0,0,0,1,-1,
2011120134296,2,1,1,1,43,7,3,0,0,0,0,0,1,-1,
2011120134777,2,1,1,1,60,9,3,0,0,0,0,0,9,1,
2011120134849,2,1,1,1,42,7,3,0,0,0,0,0,1,1,
2011120134982,1,1,1,1,39,7,3,0,0,0,0,0,5,-1,
2011120137182,1,1,1,1,37,7,2,0,0,0,0,0,1,-1,
2011120138794,1,1,1,1,10,2,3,0,0,0,0,0,1,1,
2011120138962,2,1,1,1,45,7,2,0,0,0,0,0,1,3,
2011120138972,2,1,1,2,33,6,3,0,0,0,0,0,1,1,
2011120138973,1,1,3,2,5,1,2,6,9,0,0,0,0,1,
2011120138973,1,2,3,1,7,2,3,6,9,0,0,0,0,1,
2011120139051,1,1,1,2,19,4,3,0,0,0,0,0,2,3,
2011120139762,1,1,3,1,59,9,3,5,1,0,0,0,0,1,
2011120139763,1,1,1,2,42,7,3,0,0,0,0,0,9,1,
2011120139763,1,2,2,2,10,2,3,0,0,2,0,0,9,1,
2011120139765,2,1,1,1,44,7,3,0,0,0,0,0,1,1,
2011120139916,1,1,3,2,43,7,3,10,5,0,0,2,0,1,
2011120140307,2,1,1,2,50,8,3,0,0,0,0,0,9,1,
2011120140476,1,1,1,1,16,4,2,0,0,0,0,0,2,-1,
2011120140476,2,2,1,1,51,8,3,0,0,0,0,0,9,-1,
2011120142939,2,1,1,2,46,8,3,0,0,0,0,0,1,1,
2011120143097,1,1,1,1,44,7,3,0,0,0,0,0,8,2,
2011120143097,2,2,1,2,33,6,3,0,0,0,0,0,9,-1,
2011120143097,3,3,1,1,29,6,3,0,0,0,0,0,9,2,
