"Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location-Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","1st_Po_of_Impact","Was_Vehicle_Left_Hand_Drive?","Journey_Purpose_of_Driver","Sex_of_Driver","Age_of_Driver","Age_Band_of_Driver","Engine_Capacity_(CC)","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type","Vehicle_IMD_Decile"
"2012120074838","1","9","0","3","0","0","0","0","0","0","2","1","5","2","18","4","1598","2","2","-1","-1",""
"2012120074838","2","9","0","18","0","0","0","0","0","0","1","1","5","1","23","5","1199","1","9","10","1",""
"2012120075065","1","9","0","9","0","6","0","0","0","0","1","1","2","1","35","6","973","1","11","-1","-1",""
"2012120075065","2","9","0","18","0","1","0","0","0","0","1","1","6","2","35","6","1870","2","6","7","1",""
"2012120075145","1","9","0","4","0","2","0","0","0","0","2","1","5","2","24","5","-1","-1","-1","6","1",""
"2012120075145","2","9","0","3","0","2","0","0","0","0","2","1","5","2","26","6","-1","-1","-1","9","1",""
"2012120075145","3","9","0","3","0","2","0","0","0","0","2","1","3","1","47","8","1968","2","1","8","2",""
"2012120075145","4","9","0","18","0","1","0","0","0","0","1","1","5","2","38","7","1399","2","2","-1","-1",""
"2012120075247","1","9","0","4","0","0","0","0","0","0","1","1","5","1","29","6","1590","1","13","4","1",""
"2012120075247","2","9","0","4","0","0","0","0","0","0","2","1","5","2","47","8","1796","1","11","10","3",""
"2012120075247","3","9","0","4","0","0","0","0","0","0","2","1","5","1","65","9","1968","2","2","9","3",""
"2012120076501","1","1","0","9","0","0","0","0","0","0","2","1","5","1","12","3","-1","-1","-1","9","1",""
"2012120076501","2","9","0","13","0","0","0","0","0","0","1","1","1","2","25","5","1493","2","5","7","1",""
"2012120076852","1","1","0","18","0","5","0","0","0","0","1","1","5","1","33","6","-1","-1","-1","8","1",""
"2012120076852","2","9","0","8","0","1","0","0","0","0","1","1","5","2","54","8","1389","1","14","3","1",""
"2012120077772","1","9","0","17","0","0","2","0","1","9","4","1","5","1","56","9","1598","1","10","9","1",""
"2012120078588","1","9","0","7","0","6","0","0","0","0","3","1","3","1","64","9","1995","2","11","6","1",""
"2012120078588","2","1","0","18","0","1","0","0","0","0","1","1","1","2","24","5","-1","-1","-1","3","1",""
"2012120078841","1","9","0","13","0","1","0","0","0","0","1","1","2","2","53","8","1248","2","9","9","2",""
"2012120078841","2","1","0","18","0","1","0","0","0","0","2","1","2","1","39","7","-1","-1","-1","1","1",""
"2012120080438","1","9","0","3","0","0","0","0","0","0","2","1","5","2","31","6","1951","2","11","8","1",""
"2012120080438","2","9","0","18","0","0","0","0","0","0","1","1","2","2","46","8","1995","2","5","-1","-1",""
"2012120080447","1","1","0","18","0","0","0","0","0","0","1","1","5","1","19","4","-1","-1","-1","8","2",""
"2012120080447","2","9","0","2","0","0","0","0","0","0","2","1","5","2","51","8","1587","1","14","7","1",""
"2012120082712","1","4","0","7","0","3","0","0","0","0","1","1","1","1","28","6","124","1","3","10","2",""
"2012120082712","2","1","0","18","0","3","0","0","0","0","2","1","5","2","11","3","-1","-1","-1","5","1",""
"2012120085953","1","11","0","11","2","2","0","0","0","0","2","1","1","1","50","8","-1","-1","-1","10","2",""
"2012120085953","2","1","0","18","2","2","0","0","0","0","1","1","2","1","40","7","-1","-1","-1","10","2",""
"2012120086038","1","9","0","1","9","0","0","0","0","0","2","1","5","1","41","7","1796","1","9","6","1",""
"2012120086153","1","19","0","7","0","1","0","0","0","0","2","1","6","3","-1","-1","-1","-1","-1","-1","-1",""
"2012120086153","2","1","0","18","0","1","0","0","0","0","1","1","6","1","22","5","-1","-1","-1","10","1",""
"2012120086855","1","11","0","15","2","1","0","0","0","0","1","1","1","1","34","6","7300","2","10","3","1",""
"2012120086878","1","9","0","1","0","0","0","0","0","0","2","1","5","2","19","4","1149","1","9","10","1",""
"2012120086893","1","1","0","18","0","0","0","0","0","0","0","1","5","1","33","6","-1","-1","-1","3","1",""
"2012120086893","2","9","0","18","0","0","0","0","0","0","0","1","6","3","-1","-1","-1","-1","-1","-1","-1",""
"2012120086969","1","9","0","9","0","1","0","0","0","0","1","1","1","3","34","6","1896","2","11","10","1",""
